Subject,Detection Probability,Sex,Correct,Median(Latency)
08d,0.929902,f,0,82.29
08d,0.9408,f,0,31.28
08d,0.941874,f,1,.
08d,0.958781,f,0,49.45
08d,0.971624,f,1,31.47
08d,0.978836,f,0,62.95
09a,0.19045,f,0,53.22
09a,0.195419,f,1,61.3002
09a,0.203502,f,1,.
09a,0.244136,f,0,74.05
09a,0.272722,f,1,52.13
09a,0.299647,f,0,37.74
09a,0.457335,f,1,48.29
09a,0.500964,f,1,35.85
09a,0.542605,f,1,78.38
09a,0.607488,f,0,33.86
09a,0.630561,f,1,39.77
09a,0.648025,f,0,.
09a,0.655737,f,0,31.65
09a,0.659522,f,1,29.1098
09a,0.673018,f,1,50.8402
09a,0.684875,f,0,59.51
09a,0.705392,f,0,39.6098
09a,0.719012,f,0,39.77
09a,0.788506,f,1,.
09a,0.790604,f,1,26.26
09a,0.832542,f,0,26.3601
09a,0.844879,f,1,74.95
09a,0.887865,f,1,.
09a,0.898328,f,0,26.11
09a,0.905652,f,0,41.52
09a,0.925936,f,1,37.28
09a,0.955968,f,1,27.79
09a,0.96625,f,1,27.5
09c,0.158479,m,0,.
09c,0.233529,m,0,45.23
09c,0.249853,m,1,87.46
09c,0.258532,m,1,34.03
09c,0.268511,m,1,.
09c,0.315717,m,1,70.14
09c,0.317997,m,1,62.52
09c,0.397125,m,1,86.18
09c,0.42682,m,1,34.0799
09c,0.479487,m,1,55.32
09c,0.486716,m,1,.
09c,0.60562,m,1,32.2301
09c,0.632595,m,1,55.18
09c,0.652638,m,0,80.718
09c,0.67102,m,1,73.37
09c,0.681535,m,1,47.975
09c,0.703859,m,1,62.65
09c,0.759575,m,1,29.61
09c,0.769288,m,1,45.77
09c,0.824639,m,1,75.749
09c,0.870031,m,1,35.74
09c,0.877772,m,1,58.1
09c,0.913832,m,1,31.7
09c,0.92986,m,1,71.16
09c,0.934644,m,1,48.1
09c,0.945629,m,1,35.89
09c,0.962652,m,1,.
09c,0.995123,m,1,31.43
09d,0.18101,f,1,54.23
09d,0.189419,f,0,73.88
09d,0.205649,f,1,32.5499
09d,0.218877,f,1,.
09d,0.247698,f,1,56.91
09d,0.279334,f,1,47.84
09d,0.323871,f,1,32.9
09d,0.341363,f,1,37.66
09d,0.413246,f,1,84.11
09d,0.424888,f,1,45.25
09d,0.447835,f,1,50
09d,0.449514,f,1,.
09d,0.522938,f,1,65.31
09d,0.640095,f,1,47.9698
09d,0.644351,f,1,50.82
09d,0.674051,f,1,75.7
09d,0.679751,f,1,.
09d,0.679897,f,1,51.03
09d,0.777101,f,1,35.36
09d,0.803618,f,0,84.65
09d,0.813692,f,1,.
09d,0.84574,f,1,45.76
09d,0.859572,f,1,56.12
09d,0.919281,f,1,87.6
09d,0.942156,f,1,140.36
09d,0.944347,f,1,72.18
09d,0.952218,f,1,108.31
09d,0.956209,f,1,61.65
10c,0.166455,f,1,46.72
10c,0.211336,f,1,34.75
10c,0.231212,f,0,42.37
10c,0.36147,f,1,.
10c,0.368322,f,1,64.26
10c,0.375754,f,0,50.64
10c,0.410306,f,1,82.7
10c,0.429102,f,1,.
10c,0.454828,f,0,.
10c,0.481007,f,1,42.37
10c,0.495629,f,1,63.4
10c,0.557581,f,1,24.6
10c,0.562627,f,1,42.5802
10c,0.605433,f,1,29.4302
10c,0.607345,f,1,42.1503
10c,0.630316,f,1,49.38
10c,0.712561,f,1,52.69
10c,0.722368,f,1,24.33
10c,0.767222,f,1,68.94
10c,0.8173,f,1,45.69
10c,0.823006,f,1,63.23
10c,0.826254,f,0,34.21
10c,0.852674,f,0,108.8898
10c,0.890139,f,0,34.31
10c,0.941363,f,0,.
10c,0.988941,f,1,21.9897
10c,0.992706,f,1,34.05
10c,0.992919,f,1,60.47
