"term" "estimate" "std.error" "statistic"
"1" "(Intercept)" 0.316086376091724 2.00260009952995 0.157837990803015
"2" "fastball_avg_speed" 0.0109563181525506 0.0211590214499734 0.517808357936345
"3" "breaking_avg_break" 0.00408436925357017 0.0126688443100882 0.322394778371205
"4" "offspeed_avg_break" 0.0159312182641288 0.0210275304276173 0.757636200740191
"5" "sd__(Intercept)" 0 NA NA
"6" "sd__Observation" 0.886238066901509 NA NA
"7" "(Intercept)" 1.63552542154268 0.0563858885095041 29.0059350801399
"8" "c.fastball_speed" 0.00456201489693957 0.021805187375459 0.209216954589162
"9" "c.offspeed_break" 0.0183446699703939 0.0218093482658526 0.841137926121185
"10" "c.breaking_break" 0.00311910613944444 0.0130865198460337 0.238344966892766
"11" "c.fastball_speed:c.offspeed_break" 0.0121972458177101 0.00951225712431972 1.28226620225874
"12" "c.fastball_speed:c.breaking_break" 0.000721371462856816 0.00454503330148123 0.158716430663274
"13" "c.offspeed_break:c.breaking_break" -0.000211803789360738 0.00544094402578113 -0.038927764806463
"14" "c.fastball_speed:c.offspeed_break:c.breaking_break" 0.00132660669757341 0.00237067971497932 0.559589171489995
"15" "sd__(Intercept)" 0.0469987737254324 NA NA
"16" "sd__Observation" 0.888044569843369 NA NA
